Title,Auther,Product_URL,Book_type,Original_Price,Discounted_Price,ISBN_10,Published_Date,Publisher,No_of_pages
A Walk In The Park,Jill Mansell,https://www.booktopia.com.au/book/9780755355976.html,ePUB,12.99,12.99,755355970,16-02-2012,Headline,362
The Sleep Of Reason,C.P. Snow,https://www.booktopia.com.au/book/9780755118519.html,PDF,14.9,14.9,755118510,16-01-2010,,452
The Body Farm,Patricia Cornwell,https://www.booktopia.com.au/book/9780748109586.html,ePUB,11.99,11.99,748109587,04-09-2008,"Little, Brown Book Group",400
1st to Die,James Patterson,https://www.booktopia.com.au/book/9780755387052.html,ePUB,12.99,12.99,755387058,23-06-2011,Headline,375
Midnight at the Blackbird Cafe,Heather Webber,https://www.booktopia.com.au/book/9781250198600.html,ePUB,19.5,15.99,1250198607,16-07-2019,Tor Publishing Group,
Liar Liar,M. J. Arlidge,https://www.booktopia.com.au/book/9781405919227.html,ePUB,15.99,15.99,1405919221,10-09-2015,Penguin Books Ltd,314
The Scottish Clearances,T. M. Devine,https://www.booktopia.com.au/book/9780141985947.html,ePUB,15.99,15.99,141985941,04-10-2018,Penguin Books Ltd,400
Titmuss Regained,John Mortimer,https://www.booktopia.com.au/book/9780141959856.html,ePUB,15.99,15.99,141959851,04-11-2010,Penguin Books Ltd,272
A Dedicated Man,Peter Robinson,https://www.booktopia.com.au/book/9780330469289.html,ePUB,12.35,8.95,330469282,04-09-2008,,0
Uprooted,Naomi Novik,https://www.booktopia.com.au/book/9780804179041.html,E-Book,,,804179042,01-01-2015,Random House Publishing Group,
Real Happiness,Sharon Salzberg,https://www.booktopia.com.au/book/9780761165590.html,ePUB,16.5,14.95,761165592,29-12-2010,Workman Publishing Company,250
The Hunger Games,Suzanne Collins,https://www.booktopia.com.au/book/9781407135281.html,ePUB,14.02,11.99,1407135287,01-03-2012,Scholastic,
The 2020 Commission Report on the North Korean Nuclear Attacks Against The United States,Dr Jeffrey Lewis,https://www.booktopia.com.au/book/9780753553176.html,ePUB,15.99,15.99,753553171,07-08-2018,Ebury Publishing,304
Lean In,Sheryl Sandberg,https://www.booktopia.com.au/book/9780753549063.html,ePUB,18.99,18.99,753549069,12-03-2013,Ebury Publishing,240
Thin,Grace Bowman,https://www.booktopia.com.au/book/9780141905570.html,ePUB,18.99,18.99,141905573,25-01-2007,Penguin Books Ltd,304
Redeeming Your Bloodline,Hrvoje Sirovina,https://www.booktopia.com.au/book/9780768448887.html,Paperback,36.61,36.61,768448883,01-05-2019,SOUND WISDOM,224
The Closed Circle,Jonathan Coe,https://www.booktopia.com.au/book/9780141904160.html,ePUB,15.99,15.99,014190416X,19-05-2008,Penguin Books Ltd,448
Night Frost,R D Wingfield,https://www.booktopia.com.au/book/9781407068060.html,ePUB,15.99,15.99,1407068067,27-04-2010,Transworld,432
How to Make People Like You in 90 Seconds or Less,Nicholas Boothman,https://www.booktopia.com.au/book/9780761148425.html,ePUB,19.99,19.99,761148426,02-07-2008,Workman Publishing Company,203
Gypsy,Lesley Pearse,https://www.booktopia.com.au/book/9780141910338.html,ePUB,15.99,15.99,014191033X,14-07-2008,Penguin Books Ltd,544
